ID,Código,Nome,GTIN,SKU,Marca,Descrição
124,"CET3.60_ALU","ALUFORCE CB DE POT²NCIA 3x6,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201249","SKU-CET3.60_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 3x6,0mm² 0,6/1KV NBR 7286 AL/HEPR"
287,"CET3.60_LAB","LABOR CB DE POT²NCIA 3x6,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202871","SKU-CET3.60_LAB","Labor Energy","LABOR CB DE POT²NCIA 3x6,0mm² 0,6/1KV NBR 7286 AL/HEPR"
155,"CET4.15RP_ALU","ALUFORCE CB DE POT²NCIA 4x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201553","SKU-CET4.15RP_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 4x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
320,"CET4.15RP_LAB","LABOR CB DE POT²NCIA 4x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819203205","SKU-CET4.15RP_LAB","Labor Energy","LABOR CB DE POT²NCIA 4x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
125,"CET4.15_ALU","ALUFORCE CB DE POT²NCIA 4x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201256","SKU-CET4.15_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 4x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
288,"CET4.15_LAB","LABOR CB DE POT²NCIA 4x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202888","SKU-CET4.15_LAB","Labor Energy","LABOR CB DE POT²NCIA 4x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
126,"CET4.25_ALU","ALUFORCE CB DE POT²NCIA 4x2,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201263","SKU-CET4.25_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 4x2,5mm² 0,6/1KV NBR 7286 AL/HEPR"
289,"CET4.25_LAB","LABOR CB DE POT²NCIA 4x2,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202895","SKU-CET4.25_LAB","Labor Energy","LABOR CB DE POT²NCIA 4x2,5mm² 0,6/1KV NBR 7286 AL/HEPR"
127,"CET4.40_ALU","ALUFORCE CB DE POT²NCIA 4x4,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201270","SKU-CET4.40_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 4x4,0mm² 0,6/1KV NBR 7286 AL/HEPR"
290,"CET4.40_LAB","LABOR CB DE POT²NCIA 4x4,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202901","SKU-CET4.40_LAB","Labor Energy","LABOR CB DE POT²NCIA 4x4,0mm² 0,6/1KV NBR 7286 AL/HEPR"
128,"CET4.60_ALU","ALUFORCE CB DE POT²NCIA 4x6,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201287","SKU-CET4.60_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 4x6,0mm² 0,6/1KV NBR 7286 AL/HEPR"
291,"CET4.60_LAB","LABOR CB DE POT²NCIA 4x6,0mm² 0,6/1KV NBR 7286 AL/HEPR","7896819202918","SKU-CET4.60_LAB","Labor Energy","LABOR CB DE POT²NCIA 4x6,0mm² 0,6/1KV NBR 7286 AL/HEPR"
129,"CET5.15_ALU","ALUFORCE CB DE POT²NCIA 5x1,5mm² 0,6/1KV NBR 7286 AL/HEPR","7896819201294","SKU-CET5.15_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 5x1,5mm² 0,6/1KV NBR 7286 AL/HEPR"
